id,courseId,title,duration,videoDescription,individualTags,thumbnailUrl,videogUrl,status
V001,C001,Anatomy Driven 運動器「骨学」,5時間50分,Anatomy Driven 運動器「骨学」の講座視聴ページです。,"骨,解剖学総論,作用,構造,成分,リモデリング,ランドマーク,形状,関節,可動域",/thumbnails/C001.png,https://vdg.jp/g19286vj/adbone,
V002,C002,ESSENTIAL50,13時間30分,ESSENTIAL50の講座視聴ページです。,"筋,起始・停止・作用・走行,トレーニング,トリートメント,ストレッチ,リリース",/thumbnails/C002.png,https://vdg.jp/g19286vj/essential50,
V003,C003,The Professional,11時間10分,The Professionalの講座視聴ページです。,"筋,起始・停止・作用・走行,トレーニング,トリートメント,ストレッチ,リリース,運用,健康,美容,姿勢改善,疼痛改善,スポーツパフォーマンス",/thumbnails/C003.png,https://vdg.jp/g19286vj/thepro,
V004,C004,トップトレーナー・テンプレート,4時間20分,トップトレーナー・テンプレートの講座視聴ページです。,"セッション設計,テンプレート,プログラム設計,トレーニング,ストレッチ",/thumbnails/C004.png,https://vdg.jp/g19286vj/ttt,
V005,C005,超栄養学,9時間45分,超栄養学の講座視聴ページです。,"栄養学,食事指導,五大栄養素,ファイトケミカル,食品学,調理学,食器洗い栄養学,買い物栄養学",/thumbnails/C005.png,https://vdg.jp/g19286vj/chonutri,
V006,C006,UNLOCK ANATOMY SKILL,7時間30分,UNLOCK ANATOMY SKILLの講座視聴ページです。,"コンディショニング,解剖学,マッサージ,スラスト,筋膜リリース,ストレッチ",/thumbnails/C006.png,https://vdg.jp/g19286vj/unlock,
V007,C007,きほんの呼吸 ESSENTIAL,5時間15分,きほんの呼吸 ESSENTIALの講座視聴ページです。,"呼吸,自律神経,胸郭,横隔膜,姿勢,評価,エクササイズ",/thumbnails/C007.png,https://vdg.jp/g19286vj/breath,
V008,C008,筋膜連結マスター,31時間,筋膜連結マスターの講座視聴ページです。,"解剖学,筋膜連結,筋膜,トレーニング,トリートメント",/thumbnails/C008.png,https://vdg.jp/g19286vj/kinmaku,
V009,C009,栄養を武器にする10時間。,13時間10分,栄養を武器にする10時間。の講座視聴ページです。,"栄養学,食事指導,五大栄養素,科学的思考法,論文,",/thumbnails/C009.png,https://vdg.jp/g19286vj/nutri10,
V010,C010,系統解剖学－リンパ系の解剖学・マッサージ実技－,7時間10分,系統解剖学－リンパ系の解剖学・マッサージ実技－の講座視聴ページです。,"リンパ系,浮腫み,むくみ,免疫,マッサージ,手技",/thumbnails/C010.png,https://vdg.jp/g19286vj/lymph,
V011,C011,系統解剖学－皮膚科学の解剖学と美肌アプローチー,13時間15分,系統解剖学－皮膚科学の解剖学と美肌アプローチーの講座視聴ページです。,"外皮系,皮膚,美肌,美容",/thumbnails/C011.png,https://vdg.jp/g19286vj/skin,
V012,C012,系統解剖学－心臓血管系・泌尿器系・生殖系の解剖学と現場への応用－,6時間18分,系統解剖学－心臓血管系・泌尿器系・生殖系の解剖学と現場への応用－の講座視聴ページです。,"心臓血管系,泌尿器系,生殖系,尿漏れ,男性機能,女性指導,女性ヘルスケア,免疫,",/thumbnails/C012.png,https://vdg.jp/g19286vj/cardio,
V013,C013,機能的歩行学,13時間23分,機能的歩行学の講座視聴ページです。,"歩行,歩行指導,姿勢,呼吸,ロッカーファンクション,グランドゲイトサイクル",/thumbnails/C013.png,https://vdg.jp/g19286vj/gait,
V014,C014,身体操作 虎ノ巻,11時間20分,身体操作 虎ノ巻の講座視聴ページです。,"身体操作,体芯力,脳,神経,腸腰筋,大腰筋",/thumbnails/C014.png,https://vdg.jp/g19286vj/bodyctrl,
V015,C015,姿勢改善2.0,2時間58分,姿勢改善2.0の講座視聴ページです。,"姿勢改善,重心,感覚器,足圧感覚",/thumbnails/C015.png,https://vdg.jp/g19286vj/posture2,
V016,C016,美脚の方程式,4時間,美脚の方程式の講座視聴ページです。,"美脚,下半身痩せ,呼吸,脊柱,自律神経",/thumbnails/C016.png,https://vdg.jp/g19286vj/leg,
V017,C017,ANATOMY CONDITIONING（上肢編）,4時間40分,ANATOMY CONDITIONING（上肢編）の講座視聴ページです。,"コンディショニング,上肢,肩,肩甲骨,評価,スペシャルテスト",/thumbnails/C017.png,https://vdg.jp/g19286vj/acset,
V018,C018,ANATOMY CONDITIONING（下肢編）,5時間,ANATOMY CONDITIONING（下肢編）の講座視聴ページです。,"コンディショニング,下肢,股関節,膝関節,足部,足関節,評価,スペシャルテスト",/thumbnails/C018.png,https://vdg.jp/g19286vj/acset2,
V019,C019,WOMAN'S BODY JOURNEY,11時間35分,WOMAN'S BODY JOURNEYの講座視聴ページです。,"女性指導,フェムテック,PMS,産後,更年期",/thumbnails/C019.png,https://vdg.jp/g19286vj/woman,
V020,C020,BEYOND THE ERROR,4時間42分,BEYOND THE ERRORの講座視聴ページです。,"代償動作,エラー,BIG3,スクワット,ベンチプレス,デッドリフト,コレクティブエクササイズ",/thumbnails/C020.png,https://vdg.jp/g19286vj/bte,
V021,C021,BEYOND THE ERROR -COMPLETE-,9時間20分,BEYOND THE ERROR -COMPLETE-の講座視聴ページです。,"代償動作,エラー,コレクティブエクササイズ,トレーニング",/thumbnails/C021.png,https://vdg.jp/g19286vj/btecomp,
V022,C022,動的代謝学,10時間55分,動的代謝学の講座視聴ページです。,"代謝,栄養学,ミトコンドリア,食品表示,添加物",/thumbnails/C022.png,https://vdg.jp/g19286vj/metab,
V023,C023,シン・コンディショニング,3時間45分,シン・コンディショニングの講座視聴ページです。,"神経系,コンディショニング,感覚入力,運動制御,不調改善",/thumbnails/C023.png,https://vdg.jp/g19286vj/shin,
V024,C024,シン・コンディショニングＺ,6時間20分,シン・コンディショニングＺの講座視聴ページです。,"神経系,コンディショニング,感覚入力,運動制御,不調改善",/thumbnails/C024.png,https://vdg.jp/g19286vj/shinz,
V025,C025,FACE to HEALTH,7時間20分,FACE to HEALTHの講座視聴ページです。,"小顔,顔面評価,頭蓋骨,表情筋,顎関節",/thumbnails/C025.png,https://vdg.jp/g19286vj/face,
V026,C026,ZERO BODYMAKE-0-,7時間,ZERO BODYMAKE-0-の講座視聴ページです。,"コンディショニング,手技,ボディメイク,バストアップ,ヒップアップ,くびれ,指圧,筋膜リリース,ストレッチ",/thumbnails/C026.png,https://vdg.jp/g19286vj/zerobody,
V027,C027,パフォーマンスアップの教科書,10時間28分,パフォーマンスアップの教科書の講座視聴ページです。,"パフォーマンスアップ,アスリート,競技力向上,エクササイズ,フォースカップル,ジョイントセントレーション,S.O.A.P",/thumbnails/C027.png,https://vdg.jp/g19286vj/perf,
V028,C028,TRAINER EVOLUTION,8時間30分,TRAINER EVOLUTIONの講座視聴ページです。,"進化生物学,比較解剖学,解剖学,身体操作,運動設計,パフォーマンスアップ",/thumbnails/C028.png,https://vdg.jp/g19286vj/trevo,
V029,C029,タイ古式マッサージ PERFECT INTRODUCTION,7時間42分,タイ古式マッサージ PERFECT INTRODUCTIONの講座視聴ページです。,"タイ古式マッサージ,手技,ストレッチ,リラクゼーション",/thumbnails/C029.png,https://vdg.jp/g19286vj/thai,
V030,C030,NeuroScience-Driven,予習教材9時間＋実地研修3時間,NeuroScience-Drivenの講座視聴ページです。,"神経科学,ニューロサイエンス,神経系,運動制御",/thumbnails/C030.png,https://vdg.jp/g19286vj/neuro,
V031,C031,PILATES RECOVERY BOOST,8時間17分,PILATES RECOVERY BOOSTの講座視聴ページです。,"ピラティス,不調改善,姿勢改善,体幹",/thumbnails/C031.png,https://vdg.jp/g19286vj/pilates,
V032,C032,LOGIC RUN Vol.1「進化生物学が切り開く日本の走りの未来」,3時間23分,LOGIC RUN Vol.1「進化生物学が切り開く日本の走りの未来」の講座視聴ページです。,"ランニング,進化生物学,走り",/thumbnails/C032.png,https://vdg.jp/g19286vj/run1,
V033,C033,運動指導の法則,13時間30分,運動指導の法則の講座視聴ページです。,"動作分析,評価,セッション設計",/thumbnails/C033.png,https://vdg.jp/g19286vj/undolaw,
V034,C034,再構築姿勢学,8時間,再構築姿勢学の講座視聴ページです。,"姿勢,姿勢評価,日常動作,動作分析",/thumbnails/C034.png,https://vdg.jp/g19286vj/posture,
V035,C035,LOGIC RUN Vol.2「Data-Driven RUN」,4時間15分,LOGIC RUN Vol.2「Data-Driven RUN」の講座視聴ページです。,"ランニング,動作分析,データ分析,筋電図",/thumbnails/C035.png,https://vdg.jp/g19286vj/run2,
V036,C036,Code of the Female Body,7時間12分,Code of the Female Bodyの講座視聴ページです。,"女性指導,女性の身体,女性心理,プログラム設計,東洋医学,女性周期,カウンセリング",/thumbnails/C036.png,https://vdg.jp/g19286vj/female,
V037,C037,NUTRITION GOLD,11時間45分,NUTRITION GOLDの講座視聴ページです。,"栄養学,サービス化,マネタイズ,基礎代謝,睡眠,筋肥大,パフォーマンス,骨盤底筋",/thumbnails/C037.png,https://vdg.jp/g19286vj/nutrigold,
V038,C038,THE FASCIA,3時間25分,THE FASCIAの講座視聴ページです。,"Fascia,筋膜,ファシア,リリース,モーターコントロール",/thumbnails/C038.png,https://vdg.jp/g19286vj/fascia,
V039,C039,Neutral Kinetic Walking,10時間40分,Neutral Kinetic Walkingの講座視聴ページです。,"歩行,歩行指導,歩行の設計図,アーチ,ロッカーファンクション,フットポジション",/thumbnails/C039.png,https://vdg.jp/g19286vj/nkw,
V040,C040,LOGIC RUN Vol.3「WALK to Faster RUN」,3時間,LOGIC RUN Vol.3「WALK to Faster RUN」の講座視聴ページです。,"ランニング,歩行,シューズ,足部,足関節,体重移動",/thumbnails/C040.png,https://vdg.jp/g19286vj/run3,
V041,C041,ORIENTAL MEDICINE GATE,4時間56分,ORIENTAL MEDICINE GATEの講座視聴ページです。,"東洋医学,経絡,体質,内臓,腹診,経路,経穴",/thumbnails/C041.png,https://vdg.jp/g19286vj/orient,
V042,C042,男性機能のコアリカバリー,3時間12分,男性機能のコアリカバリーの講座視聴ページです。,"男性機能改善,ED,勃起不全,呼吸,内臓,腹圧",/thumbnails/C042.png,https://vdg.jp/g19286vj/male,
V043,C043,運動指導者のためのMEO完全攻略法,1時間8分,運動指導者のためのMEO完全攻略法の講座視聴ページです。,"マーケティング,MEO,Googleマップ,地域集客",/thumbnails/C043.png,https://vdg.jp/g19286vj/meo,
V044,C044,PRIMAL MOVE,2時間38分,PRIMAL MOVEの講座視聴ページです。,"パフィーマンスアップ,身体操作,動きで鍛える,進化生物学",/thumbnails/C044.png,https://vdg.jp/g19286vj/primal,
V045,C045,MEDICAL FITNESS,4時間32分,MEDICAL FITNESSの講座視聴ページです。,"医学,医療連携,予防医療,睡眠,健康経営",/thumbnails/C045.png,https://vdg.jp/g19286vj/medfit,
